hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely!
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
quite ^rb++++=quite
a ^ap++++=a
few ^ap"++++=few
breweries ^nns+nom+++=breweries.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
a ^at++++=a
beer ^nn++++=beer
you ^pp2+pp2+++=you
like ^in++++=like
the ^ati++++=the
most ^ql+emph+++=most?
? ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
a ^at++++=a
brewery ^nn+nom+++=brewery
tour ^nn++++=tour?
? ^zz++++=EXTRAWORD
a ^at++++=a
couple ^nn++++=couple
offer ^nn++++=offer
you ^pp2+pp2+++=you
tours ^nns++++=tours
of ^in++++=of
the ^ati++++=the
facilities ^nns+nom+++=facilities.
. ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay!
! ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
to ^to++++=to
try ^vbi++++=try
something ^pn++++=something
eclectic ^jj++++=eclectic,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+tht0++=suggest
you ^pp2+pp2+++=you
visit ^vb++++=visit
the ^ati++++=the
darksky ^nn+++??+=darksky
brewing ^vwbg+++xvbg+=brewing.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
brew ^nn++++=brew
about ^in++++=about
100 ^cd++++=100
flavors ^nns++++=flavors
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
lumberyard ^nn+++??+=lumberyard
and ^cc++++=and
mother ^nn++++=mother
road ^npl++++=road
would ^md+prd+++=would
have ^vb+hv+vrb++=have
more ^rbr++++=more
traditional ^jj+atrb+++=traditional
beers ^np++++=beers
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+tht0++=suggest
you ^pp2+pp2+++=you
call ^nn++++=call
them ^pp3o+pp3+++=them
to ^to++++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
depends ^vbz++++=depends
on ^in++++=on
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
someone ^pn++++=someone
available ^jj++++=available.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
just ^rb+emph+++=just
did ^vbd+dod+vrb++=did
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
mother ^nn++++=mother
road ^npl++++=road's
's ^vbz+bez+vrb++0=EXTRAWORD
new ^jj+atrb+++=new
brewery ^nn+nom+++=brewery.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
facinates ^nns+nom+++=facinates
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved
the ^ati++++=the
