hello ^rb+dspt+++=hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
< ^zz++++=<guide1>.
guide1 ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
oh ^uh++++=oh
no ^at++++=no,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
flagstaff ^nn+++??+=flagstaff
actually ^rb+amp+++=actually
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
too ^rb++++=too
hot ^jj++++=hot
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer!
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
at ^rb++++=at
7000 ^cd++++=7000
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
so ^ql++++=so
our ^pp$+pp1+++=our
summers ^nns+nom+++=summers
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
85 ^cd++++=85
degrees ^nns+nom+++=degrees
f ^zz++++=f
at ^rb++++=at
the ^ati++++=the
hottest ^nn++++=hottest.
. ^zz++++=EXTRAWORD
visitors ^nns++++=visitors
will ^md+prd+++=will
either ^dtx++++=either
rent ^nn++++=rent
a ^at++++=a
car ^nn++++=car
and ^cc++++=and
travel ^vb++++=travel
to ^in++++=to
flagstaff ^nn+++??+=flagstaff
or ^cc++++=or
fly ^nn++++=fly
in ^in++++=in
to ^in++++=to
phoenix ^nn++++=phoenix
and ^cc++++=and
rent ^nn++++=rent
a ^at++++=a
car ^nn++++=car
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
phoenix ^np++++=phoenix
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
2.5 ^cd++++=2.5
hour ^nn++++=hour
drive ^nn++++=drive
south ^nr+pl+++=south
of ^in++++=of
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
the ^ati++++=the
drive ^nn++++=drive
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
from ^in++++=from
the ^ati++++=the
airport ^npl++++=airport
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
rent ^vbi++++=rent
a ^at++++=a
car ^nn++++=car.
. ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
preference ^nn+nom+++=preference,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
buses ^nns++++=buses
that ^tht+rel+subj++=that
would ^md+prd+++=would
take ^vb++++=take
you ^pp2+pp2+++=you
most ^ql+emph+++=most
places ^nns++++=places
in ^in++++=in
flagstaff ^nn+++??+=flagstaff.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
get ^vb++++=get
a ^at++++=a
day ^nn++++=day
pass ^vb++++=pass
for ^in++++=for
only ^rb+down+++=only
$ ^zz++++=$2.50,
2.50 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
schedules ^nns++++=schedules
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
convenient ^jj++++=convenient.
. ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
leave ^vbi++++=leave
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
gets ^vbz++++=gets
a ^rb++++=a
little ^rb"++++=little
trickier ^jjr++++=trickier.
