hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
breweries ^nns+nom+++=breweries
that ^tht+rel+obj++=that
offer ^nn++++=offer
you ^pp2+pp2+++=you
food ^nn++++=food
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
beer ^nn++++=beer
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have:
: ^zz++++=EXTRAWORD
beaver ^jjr+atrb+++=beaver
street ^nn++++=street,
, ^zz++++=EXTRAWORD
lumberyard ^nn+++??+=lumberyard,
, ^zz++++=EXTRAWORD
historic ^jj+atrb+++=historic
brewery ^nn+nom+++=brewery
and ^cc++++=and
flagstaff ^jj+atrb++??+=flagstaff
brewery ^nn+nom+++=brewery.
. ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
right ^jj+pred+++=right
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
inside ^jjb++++=inside
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
downtown ^rn++++=downtown
dining ^nn++++=dining
map ^vb++++=map
that ^dt+pdem+++=that
shows ^vbz+vprv+tht0++=shows
you ^pp2+pp2+++=you
the ^ati++++=the
locations ^nns+nom+++=locations.
. ^zz++++=EXTRAWORD
