it ^pp3+it+++=it
depends ^vbz++++=depends,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
canyon ^nn++++=canyon
interests ^nns++++=interests
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
alright ^rb+dspt++??+=alright,
, ^zz++++=EXTRAWORD
grandc ^nn+++??+=grandc
allows ^vbz++++=allows
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
rim ^nn++++=rim
but ^cc++++=but
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
canyon ^nn++++=canyon,
, ^zz++++=EXTRAWORD
Oakc ^np+++??+=OakC
canyon ^nn++++=canyon
allows ^vbz++++=allows
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walnutc ^nn+++??+=walnutc
and ^cc++++=and
antcanyon ^nn++++=antcanyon
do ^vb+do+aux++=do
not ^xnot++not++=not
allow ^vb++++=allow
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
