Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
has ^vbz+hvz+vrb++=has
30 ^cd++++=30
minute ^nn++++=minute
free ^jj++++=free
parking ^jj+++xvbg+=parking
on ^in++++=on
the ^ati++++=the
west ^np+pl+++=west
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
monitored ^vpsv++agls+xvbnx+=monitored.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
park ^vb++++=park
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^nvbg+++xvbg+=building
, ^zz++++=,
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1/hour,
1 ^zz++++=EXTRAWORD
and ^cc++++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
kiosk ^nn++++=kiosk
to ^to++++=to
pay ^vbi++++=pay
for ^in++++=for
your ^pp$+pp2+++=your
parking ^nvbg+++xvbg+=parking
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
building ^jj+++xvbg+=building
and ^cc++++=and
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
the ^ati++++=the
Oldtown ^np+++??+=OldTown
shops ^nns++++=shops
is ^vbz+bez+vrb++=is
a ^at++++=a
small ^jj+atrb+++=small
indoor ^jjb+atrb+++=indoor
shopping ^jj+++xvbg+=shopping
mall ^np++++=mall
just ^rb+emph+++=just
two ^cd++++=two
blocks ^nns++++=blocks
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
restrooms ^nns+++??+=restrooms
that ^tht+rel+obj++=that
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
are ^vb+ber+vrb++=are
good ^jj+pred+++=good..
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
locate ^vb++++=locate
it ^pp3+it+++=it
on ^in++++=on
heritage ^nn+nom+++=heritage
square ^nn++++=square.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
