i ^pp1a+pp1+++=i
guess ^vb++++=guess
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
tough ^jj++++=tough
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
Walnutc ^np+++??+=WalnutC
without ^in++++=without
hiking ^nn++++=hiking.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
some ^dti++++=some
ruins ^nns++++=ruins
from ^in++++=from
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
and ^cc++++=and
you ^pp2+pp2+++=you
possibly ^rb++++=possibly
could ^md+pos+++=could
do ^vb+do+vrb++=do
the ^ati++++=the
trail ^nn++++=trail
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
one ^cd1++++=one
mile ^nn++++=mile
and ^cc++++=and
accessible ^jj++++=accessible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
trail ^nn++++=trail
that ^tht+rel+subj++=that
goes ^vbz++++=goes
around ^in++++=around
the ^ati++++=the
island ^nn++++=island
is ^vbz+bez+vrb++=is
280 ^cd++++=280
steps ^nns++++=steps
into ^in++++=into
the ^ati++++=the
canyon ^nn++++=canyon
to ^to++++=to
take ^vbi++++=take
you ^pp2+pp2+++=you
close ^jj++++=close
to ^to++++=to
the ^ati++++=the
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
