hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
some ^dti++++=some
historic ^jj+atrb+++=historic
tours ^nns++++=tours
and ^cc++++=and
talks ^nns++++=talks
you ^pp2+pp2+++=you
could ^md+pos+++=could
attend ^vb++++=attend
but ^cc++++=but
unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
telescope ^nn++++=telescope
viewing ^nn++++=viewing.
. ^zz++++=EXTRAWORD
