hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
yeah ^uh++++=yeah
you ^pp2+pp2+++=you
can ^md+pos+++=can
spend ^vb++++=spend
one ^cd1++++=one
day ^nn++++=day
in ^in++++=in
sedona ^nn+++??+=sedona
and ^cc++++=and
two ^cd++++=two
days ^nns++++=days
here ^rn+pl+++=here
and ^cc++++=and
you ^pp2+pp2+++=you
get ^vb++++=get
an ^at++++=an
overview ^nn+++??+=overview.
. ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
planning ^vb+++xvbg+=planning
to ^to+vcmp+++=to
visit ^vbi++++=visit
the ^ati++++=the
Grandc ^np+++??+=GrandC?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
add ^vb+vpub+++=add
one ^cd1++++=one
more ^rbr++++=more
day ^nn++++=day
to ^in++++=to
your ^pp$+pp2+++=your
itinerary ^nn+nom+++=itinerary
if ^cs+cnd+++=if
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
Are ^vb+ber+aux++=Are
your ^pp$+pp2+++=your
interests ^nns++++=interests?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
hikes ^nns+++??+=hikes
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
san ^np++++=san
francisco ^np++++=francisco
peaks ^nns++++=peaks
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
aspen ^jj+atrb++xvbn+=aspen
nature ^nn++++=nature
loop ^nn++++=loop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
kachina ^nn+++??+=kachina
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
the ^ati++++=the
parks ^nns++++=parks
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
are ^vb+ber+vrb++=are
three ^cd++++=three
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
places ^nns++++=places
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
visit ^vbi++++=visit
Sunsetc ^np+++??+=SunsetC,
, ^zz++++=EXTRAWORD
walnutc ^nn+++??+=walnutc
and ^cc++++=and
wupataki ^nn+++??+=wupataki.
. ^zz++++=EXTRAWORD
kachina ^nn+++??+=kachina
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
5 ^zz++++=5
miles ^nns++++=miles
each ^dt++++=each
way ^nn++++=way
and ^cc++++=and
the ^ati++++=the
aspen ^jj+atrb++xvbn+=aspen
nature ^nn++++=nature
loop ^nn++++=loop
is ^vbz+bez+vrb++=is
2.5 ^cd++++=2.5
miles ^nns++++=miles
and ^cc++++=and
so ^ql++++=so
that ^dt+pdem+++=that
would ^md+prd+++=would
depend ^vb++++=depend
on ^in++++=on
how ^wrb+who+++=how
long ^rb++++=long
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
hike ^vbi+++??+=hike
both ^abx++++=both
have ^vb+hv+vrb++=have
views ^nns++++=views
you ^pp2+pp2+++=you'd
had ^vbd+hvd+aux++=EXTRAWORD
enjoy ^vb++++=enjoy
and ^cc+phrs+++=and
aspen ^vb++++=aspen
stands ^vbz++++=stands
to ^to+vcmp+++=to
walk ^vb++++=walk
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
