i ^pp1a+pp1+++=i
guess ^vb++++=guess
the ^ati++++=the
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
and ^cc++++=and
greyhound ^nn++++=greyhound
are ^vb+ber+vrb++=are
the ^ati++++=the
only ^rb+down+++=only
two ^cd++++=two
choices ^nns++++=choices
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
or ^cc++++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
fly ^vb++++=fly
out ^rp+pl+++=out
of ^in++++=of
flagstaff ^nn+++??+=flagstaff
instead ^rb+cnj+++=instead
and ^cc++++=and,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
transfer ^nn+nom+++=transfer
in ^in++++=in
phoenix ^nn++++=phoenix.
. ^zz++++=EXTRAWORD
