Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
sugar ^nn++++=sugar
mama ^nn++++=mama's
's ^$++++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
popular ^jj++++=popular
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
on ^in++++=on
2612 ^cd++++=2612
n ^zz++++=n
steves ^nns++++=steves
blvd ^nn++++=blvd,
, ^zz++++=EXTRAWORD
flagstaff ^nn++++=flagstaff,
, ^zz++++=EXTRAWORD
az ^nn++++=az
86004 ^cd++++=86004
