Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
love ^nn++++=love
the ^ati++++=the
Desertv ^np+++??+=DesertV
watchtower ^jjr+atrb+++=watchtower's
's ^vbz+bez+vrb++0=EXTRAWORD
viewpoint ^nn++++=viewpoint
of ^in++++=of
the ^ati++++=the
grandc ^nn+++??+=grandc.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
at ^in++++=at
the ^ati++++=the
east ^np+pl+++=east
entrance ^nn+nom+++=entrance
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south
rim ^nn++++=rim.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
really ^rb+emph+++=really
like ^in++++=like
the ^ati++++=the
building ^jj+++xvbg+=building
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
see ^vb+vprv+++=see
the ^ati++++=the
colorado ^np++++=colorado
river ^nn++++=river
going ^vwbg+++xvbg+=going
through ^in++++=through
the ^ati++++=the
canyon ^nn++++=canyon
from ^in++++=from
that ^dt+dem+++=that
point ^nn++++=point.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
really ^rb+emph+++=really
depends ^vbz++++=depends.
. ^zz++++=EXTRAWORD
a ^at++++=a
tour ^nn++++=tour
will ^md+prd+++=will
obviously ^rb+amp+splt++=obviously
limit ^vb++++=limit
your ^pp$+pp2+++=your
time ^nn++++=time,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
learn ^vb+vprv+++=learn
more ^rbr++++=more
about ^in++++=about
the ^ati++++=the
Grandc ^np+++??+=GrandC
and ^cc++++=and
its ^pp$+it+++=its
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
drive ^vb++++=drive
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
focus ^vb++++=focus
more ^rbr++++=more
on ^in++++=on
your ^pp$+pp2+++=your
surroundings ^nns++++=surroundings.
. ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
rent ^vb++++=rent
a ^at++++=a
car ^nn++++=car,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
set ^vb+++xvbn+=set
your ^pp$+pp2+++=your
own ^ap++++=own
schedule ^vb++++=schedule
to ^to+vcmp+++=to
reach ^vbi++++=reach
places ^nns++++=places
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
visit ^vbi++++=visit,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tour ^nn++++=tour
would ^md+prd+++=would
limit ^vb++++=limit
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
should ^md+nec+++=should,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
contact ^nn++++=contact
them ^pp3o+pp3+++=them
you ^pp2+pp2+++=you
can ^md+pos+++=can
ask ^vb++++=ask
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
include ^vb++++=include
the ^ati++++=the
watchtower ^nn++++=watchtower.
. ^zz++++=EXTRAWORD
two ^cd++++=two
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
are ^vb+ber+vrb++=are
Grandc ^np+++??+=GrandC
adventures ^nns++++=adventures
and ^cc++++=and
all ^abn++++=all-star
- ^zz++++=EXTRAWORD
star ^nn++++=EXTRAWORD
grandc ^np++++=GrandC
tours ^nns++++=tours.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
