diablo ^np++++=diablo
burger ^jjr++++=burger
is ^vbz+bez+vrb++=is
popular ^jj+pred+++=popular
on ^in++++=on
heritage ^nn+nom+++=heritage
square ^nn++++=square.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
criollo ^nn+++??+=criollo
latin ^jj+atrb+++=latin
kitchen ^nn++++=kitchen
on ^in++++=on
san ^np++++=san
francisco ^np++++=francisco
and ^cc++++=and
martanne ^nn+++??+=martanne's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
rte ^nn+++??+=rte.
. ^zz++++=EXTRAWORD
66 ^cd++++=66
to ^in++++=to
have ^vbi++vrb++=have
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
indian ^jj+atrb+++=indian
tacos ^nns+++??+=tacos
are ^vb+ber+vrb++=are
a ^at++++=a
regional ^jj+atrb+++=regional
specialty ^nn+++??+=specialty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
best ^jjt+atrb+++=best
ones ^cd1s++++=ones
are ^vb+ber+vrb++=are
closer ^rbr++++=closer
to ^in++++=to
cameron ^np++++=cameron
near ^in+pl+++=near
the ^ati++++=the
grandc ^np++++=GrandC.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
cameron ^np++++=cameron
trading ^nn++++=trading
post ^nn++++=post
restaurant ^nn+nom+++=restaurant
