hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
one ^cd1++++=one
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
visit ^vb++++=visit
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
spend ^vb++++=spend
an ^at++++=an
hour ^nn++++=hour
wandering ^vwbg+++xvbg+=wandering
around ^rp++++=around.
. ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
downtown ^rn++++=downtown
has ^vbz+hvz+aux++=has
kept ^vprf+++xvbnx+=kept
its ^pp$+it+++=its
historic ^jj+atrb+++=historic
buildings ^nns++++=buildings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
murals ^nn++++=murals
by ^in++++=by
local ^jj+atrb+++=local
artists ^nns+nom+++=artists
you ^pp2+pp2+++=you
should ^md+nec+++=should
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
most ^ap+emph+++=most
everything ^pn++++=everything
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
in ^in++++=in
downtown ^rn++++=downtown
is ^vbz+bez+aux++=is
locally ^rb+pl+splt++=locally
owned ^vpsv++agls+xvbnx+=owned
and ^cc+phrs+++=and
operated ^vbd+++xvbn+=operated.
. ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
a ^rb++++=a
little ^rb"++++=little
further ^jjb++++=further
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
visit ^vb++++=visit
the ^ati++++=the
Lowellobs ^np+++??+=LowellObs.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
5 ^zz++++=5
minute ^nn++++=minute
drive ^nn++++=drive
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
and ^cc++++=and
you ^pp2+pp2+++=you
could ^md+pos+++=could
do ^vb+do+vrb++=do
tours ^nns++++=tours
during ^in++++=during
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
30 ^cd++++=30-45
- ^zz++++=EXTRAWORD
45 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
leave ^vb++++=leave
or ^cc+phrs+++=or
wander ^vb++++=wander
around ^rp++++=around
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
prefer ^vb+vprv+++=prefer.
. ^zz++++=EXTRAWORD
