hello ^rb+dspt+++=hello
i ^pp1a+pp1+++=i'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
couple ^nn++++=couple
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
in ^in++++=in
downtown ^rn++++=downtown
the ^ati++++=the
flagstaff ^nn+++??+=flagstaff
chocolate ^nn+nom+++=chocolate
company ^nn++++=company
in ^in++++=in
the ^ati++++=the
Oldtown ^np+++??+=OldTown
shops ^nns++++=shops
or ^cc++++=or
the ^ati++++=the
nut ^nn++++=nut
house ^npl++++=house
on ^in++++=on
aspen ^vb+++xvbn+=aspen
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
to ^to++++=to
pay ^vbi++++=pay
cash ^nn++++=cash
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
that ^cs+sub+++=that
inside ^jjb++++=inside
at ^in++++=at
the ^ati++++=the
register ^nn+nom+++=register
and ^cc++++=and
to ^to++++=to
use ^vbi++++=use
your ^pp$+pp2+++=your
credit ^nn++++=credit
card ^nn++++=card
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
kiosk ^nn++++=kiosk
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
near ^in+pl+++=near
the ^ati++++=the
dumpster ^nn+nom+++=dumpster
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^nn++++=building.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
