my ^pp$+pp1+++=my
Grandc ^np+++??+=GrandC
tips ^nns++++=tips,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
get ^vb++++=get
there ^rn+pl+++=there
before ^cs+sub+++=before
9am ^cd++++=9am
and ^cc++++=and
i ^pp1a+pp1+++=i
would ^md+prd+++=would
take ^vb++++=take
the ^ati++++=the
shuttle ^nn++++=shuttle
to ^to++++=to
get ^vbi++++=get
around ^rp++++=around.
. ^zz++++=EXTRAWORD
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
every ^at++++=every
restaurant ^nn+nom+++=restaurant
downtown ^rn++++=downtown
have ^vb+hv+vrb++=have
vegetarian ^nn++++=vegetarian
options ^nns+nom+++=options,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ones ^cd1s++++=ones
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
specialize ^vb++++=specialize
in ^in++++=in
vegetarian ^nn++++=vegetarian
dishes ^nns++++=dishes
are ^vb+ber+vrb++=are
wyld ^nn++++=wyld
ass ^nn++++=ass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
macy ^nn++++=macy's.
's. ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
