Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
macy ^nn++++=macy's
's ^vbz+bez+vrb++0=EXTRAWORD
european ^jj+atrb+++=european
coffee ^nn++++=coffee
house ^nn++++=house
is ^vbz+bez+vrb++=is
a ^at++++=a
vegetarian ^nn++++=vegetarian
restaurant ^nn+nom+++=restaurant
and ^cc++++=and
cafe ^nn++++=cafe
on ^in++++=on
s ^zz++++=s
beaver ^jjr++++=beaver
st ^npt++++=st,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
restaurants ^nns+nom+++=restaurants
offer ^vb++++=offer
you ^pp2+pp2+++=you
vegetarian ^nn++++=vegetarian
options ^nns+nom+++=options
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
the ^ati++++=the
Redcurry ^np+++??+=RedCurry
vegan ^nn++++=vegan
restaurant ^nn+nom+++=restaurant
on ^rp++++=on
n ^zz++++=n
san ^np++++=san
francisco ^np++++=francisco
st ^npl++++=st.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
