hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
the ^ati++++=the
best ^jjt+atrb+++=best
place ^nn++++=place
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
volcanoes ^nns+++??+=volcanoes
would ^md+prd+++=would
be ^vb+be+vrb++=be
Sunsetc ^np+++??+=SunsetC
volcano ^nn++++=volcano,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
minutes ^nns++++=minutes
north ^np+pl+++=north
of ^in++++=of
town ^nn++++=town
on ^in++++=on
89 ^cd++++=89.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
walk ^nn++++=walk
on ^rp++++=on
Sunsetc ^np+++??+=SunsetC.
. ^zz++++=EXTRAWORD
lenox ^nn+++??+=lenox
crater ^nn++++=crater
offers ^nns++++=offers
accessibility ^nn+nom+++=accessibility
and ^cc++++=and
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
trail ^nn++++=trail
that ^tht+rel+subj++=that
would ^md+prd+++=would
take ^vb++++=take
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
that ^dt+dem+++=that
one ^pn++++=one.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
watch ^vb++++=watch
the ^ati++++=the
Sunsetc ^np+++??+=SunsetC
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
the ^ati++++=the
lenox ^nn+++??+=lenox
crater ^nn++++=crater
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
1.5 ^cd++++=1.5-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
hours ^nns++++=hours
round ^in++++=round
trip ^nn++++=trip.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
