hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
it ^pp3+it+++=it
really ^rb+emph+++=really
depends ^vbz++++=depends
on ^in++++=on
what ^wdt+who+++=what
interests ^nns++++=interests
you ^pp2+pp2+++=you
, ^zz++++=,
both ^abx++++=both
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
unique ^jj++++=unique.
. ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
hike ^vbi+++??+=hike,
, ^zz++++=EXTRAWORD
whichever ^nn+nom+++=whichever
one ^cd1++++=one
you ^pp2+pp2+++=you
go ^vb++++=go
to ^to++++=to?
? ^zz++++=EXTRAWORD
or ^cc+cls+++=or
more ^rbr++++=more
sightsee ^nn+nom+++=sightsee?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
national ^jj+atrb+++=national
parks ^nns++++=parks
pass ^vb++++=pass?
? ^zz++++=EXTRAWORD
( ^zz++++=(this
this ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
help ^vb++++=help
with ^in++++=with
my ^pp$+pp1+++=my
advice ^nn++++=advice)
) ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
perfect ^jj++++=perfect!
! ^zz++++=EXTRAWORD
, ^zz++++=,
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
visit ^vb++++=visit
the ^ati++++=the
Grandc ^np+++??+=GrandC.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
your ^pp$+pp2+++=your
national ^jj+atrb+++=national
park ^npl++++=park
pass ^vb++++=pass.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
spend ^vb++++=spend
a ^at++++=a
full ^jj+atrb+++=full
day ^nn++++=day
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
once ^rb+tm+++=once
you ^pp2+pp2+++=you
park ^npl++++=park,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
shuttle ^nn++++=shuttle
around ^in++++=around
the ^ati++++=the
canyon ^nn++++=canyon.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
free ^jj++++=free
and ^cc++++=and
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
visit ^vb++++=visit
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
park ^npl++++=park
that ^tht+rel+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
exception ^nn+nom+++=exception
is ^vbz+bez+vrb++=is
the ^ati++++=the
Desertv ^np+++??+=DesertV
watchtower ^jjr++++=watchtower,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
i ^pp1a+pp1+++=i
highly ^rb+amp+++=highly
suggest ^vb+vpub+++=suggest.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
