hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
Antcanyon ^np+++??+=AntCanyon
is ^vbz+bez+vrb++=is
a ^at++++=a
narrow ^jj+atrb+++=narrow
slot ^nn++++=slot
canyon ^nn++++=canyon,
, ^zz++++=EXTRAWORD
so ^ql++++=so
i ^pp1a+pp1+++=i
would ^md+prd+++=would
not ^xnot++not++=not
recommend ^vb+vsua+++=recommend
. ^zz++++=.
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
could ^md+pos+++=could
do ^vb+do+vrb++=do
the ^ati++++=the
bryce ^nn+++??+=bryce
canyon ^nn++++=canyon
in ^in++++=in
utah ^np++++=utah,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
similar ^nn++++=similar
feel ^vb+vprv+++=feel
and ^cc++++=and
this ^dt+dem+++=this
one ^cd1++++=one
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
so ^ql++++=so
narrow ^vb++++=narrow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
visit ^vb++++=visit
sedona ^nn+++??+=sedona.
. ^zz++++=EXTRAWORD
both ^abx++++=both
have ^vb+hv+vrb++=have
rock ^nn++++=rock
formations ^nns+nom+++=formations
i ^pp1a+pp1+++=i
find ^vb+vprv+++=find
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
want ^vb++++=want
to ^to+vcmp+++=to
try ^vbi++++=try
lower ^jjr++++=lower
Antcanyon ^np+++??+=AntCanyon.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
as ^ql++++=as
narrow ^vb++++=narrow
as ^ql++++=as
the ^ati++++=the
upper ^jjb+atrb+++=upper
canyon ^nn++++=canyon.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
whether ^cs+who+++=whether
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
canyon ^nn++++=canyon
would ^md+prd+++=would
be ^vb+be+vrb++=be
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
anything ^pn++++=anything
else ^rb+cnj+++=else?
? ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
4.5 ^cd++++=4.5
hour ^nn++++=hour
drive ^nn++++=drive
from ^in++++=from
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
2 ^zz++++=2
hours ^nns++++=hours
from ^in++++=from
page ^nn++++=page.
. ^zz++++=EXTRAWORD
sedona ^nn+++??+=sedona
is ^vbz+bez+vrb++=is
45 ^cd++++=45
minutes ^nns++++=minutes
south ^np+pl+++=south
of ^in++++=of
flagstaff ^nn++++=flagstaff.
. ^zz++++=EXTRAWORD
ok ^rb+dspt+++=ok,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
