hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
3 ^zz++++=3
days ^nns++++=days
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
will ^md+prd+++=will
you ^pp2+pp2+++=you
also ^rb++++=also
include ^vb++++=include
trips ^nns++++=trips
to ^in++++=to
perhaps ^rb++++=perhaps
sedona ^jj+++??+=sedona,
, ^zz++++=EXTRAWORD
Grandc ^np+++??+=GrandC,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ,
, ^zz++++=EXTRAWORD
lowellobs ^nns+++??+=lowellobs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
3 ^zz++++=3
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
are ^vb+ber+vrb++=are
good ^jj+pred+++=good
to ^to+jcmp+++=to
do ^vbi++++=do
around ^rp++++=around
flagstaff ^nn+++??+=flagstaff.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
50 ^cd++++=50
miles ^nns++++=miles
of ^in++++=of
hiking ^nn++++=hiking
trails ^nns++++=trails
to ^to++++=to
be ^vbi++vrb++=be
outside ^in+pl+++=outside
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
also ^rb++splt++=also
visit ^vb++++=visit
the ^ati++++=the
Grandc ^np+++??+=GrandC
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
trip ^nn++++=trip
to ^in++++=to
sedona ^nn+++??+=sedona
while ^cs+sub+++=while
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
yourself ^ppl+pp2+++=yourself
at ^rb++++=at
least ^rb"++++=least
2 ^zz++++=2
hours ^nns++++=hours
at ^in++++=at
the ^ati++++=the
museum ^nn++++=museum,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
visit ^vb++++=visit
the ^ati++++=the
lowell ^nn+++??+=lowell
for ^in++++=for
two ^cd++++=two
hours ^nns++++=hours
and ^cc++++=and
come ^vb++++=come
back ^jjb++++=back
later ^rbr+tm+++=later
when ^wrb+who+++=when
the ^ati++++=the
stargazing ^xvbg+++xvbg+=stargazing
starts ^vbz++++=starts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
about ^in++++=about
3 ^zz++++=3
hours ^nns++++=hours
at ^rb++++=at
wupatki ^nn+++??+=wupatki/SunsetC
and ^cc++++=and
2 ^zz++++=2
hours ^nns++++=hours
at ^rb++++=at
walnutc ^nn+++??+=walnutc
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
hiking ^nn++++=hiking?,
? ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
yourself ^ppl+pp2+++=yourself
a ^at++++=a
day ^nn++++=day
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
Grandc ^np+++??+=GrandC
and ^cc++++=and
sedona ^nn+++??+=sedona.
. ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
half ^rb++++=half
a ^at++++=a
day ^np++++=day
each ^ppls++++=each.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+aux++0=EXTRAWORD
giving ^vbg+++xvbgx+=giving
you ^pp2+pp2+++=you
a ^at++++=a
quicker ^jjr+atrb+++=quicker
pace ^nn++++=pace
tip ^nn++++=tip;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
like ^vb++++=like
to ^to+vcmp+++=to
take ^vb++++=take
more ^rbr++++=more
time ^nn++++=time.
. ^zz++++=EXTRAWORD
