hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
food ^nn++++=food
would ^md+prd+++=would
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
mexican ^jj+atrb+++=mexican
restaurants ^nns+nom+++=restaurants
in ^in++++=in
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
drive ^vb++++=drive.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
agave ^nn+++??+=agave,
, ^zz++++=EXTRAWORD
salsa ^nn+++??+=salsa
brava ^nn+++??+=brava,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
la ^&fw++++=la
fonda ^np++++=fonda's
's ^$++++=EXTRAWORD
are ^vb+ber+vrb++=are
all ^abn++++=all
choices ^nns++++=choices
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
some ^dti++++=some
mexican ^jj+atrb+++=mexican
food ^nn++++=food
at ^rb++++=at
charly ^jj+atrb+++=charly's
's ^vbz+bez+vrb++0=EXTRAWORD
pub ^nn++++=pub
and ^cc++++=and
grill ^nn++++=grill
in ^in++++=in
the ^ati++++=the
weatherford ^nn+++??+=weatherford
hotel ^npl++++=hotel.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
locate ^vb++++=locate
charly ^jj+atrb+++=charly's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
most ^ql+emph+++=most
attractions ^nns+nom+++=attractions
close ^jj++++=close
at ^rb++++=at
5pm ^cd++++=5pm.
. ^zz++++=EXTRAWORD
Lowellobs ^np+++??+=LowellObs
is ^vbz+bez+vrb++=is
open ^jj++++=open
late ^jj++++=late
until ^cs+sub+++=until
10pm ^cd++++=10pm
on ^in++++=on
weekdays ^nns++++=weekdays
and ^cc++++=and
i ^pp1a+pp1+++=i
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
stargazing ^jj++++=stargazing
great ^jj++++=great.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
