hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
village ^nn+nom+++=village
900 ^cd++++=900
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
wupatki ^nn+++??+=wupatki
means ^nns++++=means
big ^jj+atrb+++=big
house ^nn++++=house
and ^cc++++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
over ^in++++=over
100 ^cd++++=100
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
