hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
a ^at++++=a
southwest ^jjt++++=southwest-style
- ^zz++++=EXTRAWORD
style ^nn++++=EXTRAWORD
breakfast ^nn++++=breakfast
( ^zz++++=(on
on ^in++++=EXTRAWORD
the ^ati++++=the
spicy ^nn+++??+=spicy
side ^nn++++=side)
) ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
you ^pp2+pp2+++=you
should ^md+nec+++=should
visit ^vb++++=visit
martanne ^nn+++??+=martanne's
's ^$++++=EXTRAWORD
( ^zz++++=(112
112 ^cd++++=EXTRAWORD
historic ^jj+atrb+++=historic
rte ^nn+++??+=rte
66 ^cd++++=66).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
Toastedowl ^np+++??+=ToastedOwl
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
to ^to+jcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
frou ^nn+++??+=frou-frou
- ^zz++++=EXTRAWORD
frou ^nn+++??+=EXTRAWORD
breakfast ^nn++++=breakfast
with ^in++++=with
many ^ap++++=many
options ^nns+nom+++=options
( ^zz++++=(12
12 ^cd++++=EXTRAWORD
s ^zz++++=s
mikes ^nns+++??+=mikes
pike ^nn++++=pike
st ^npt++++=st).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tradition ^nn+nom+++=tradition
breakfast ^nn++++=breakfast
with ^in++++=with
big ^jj+atrb+++=big
portions ^nns+nom+++=portions,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
prefer ^vb+vprv+++=prefer
visiting ^vbg+++xvbg+=visiting
mike ^np++++=mike
& ^zz++++=&
ronda ^nn+++??+=ronda's
's ^$++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
( ^zz++++=(21
21 ^cd++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
milton ^np++++=milton).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say
the ^ati++++=the
Grandc ^np+++??+=GrandC,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
iconic ^nn++++=iconic
and ^cc++++=and
on ^in++++=on
many ^ap++++=many
" ^zz++++="bucket
bucket ^nn++++=EXTRAWORD
lists ^nns++++=lists".
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
sedona ^nn+++??+=sedona
is ^vbz+bez+vrb++=is
the ^ati++++=the
closest ^jjt+atrb+++=closest
one ^cd1++++=one
however ^rb+cnj+++=however
( ^zz++++=(30
30 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
hours ^nns++++=hours),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^rb++++=so
in ^in++++=in
case ^nn++++=case
that ^tht+rel+obj++=that
time ^nn++++=time
concerns ^vbz++++=concerns
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
red ^jj+atrb+++=red
rocks ^nns++++=rocks
are ^vb+ber+vrb++=are
definitely ^rb++++=definitely
worth ^in++++=worth
seeing ^nn++++=seeing.
. ^zz++++=EXTRAWORD
