Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
walk ^vb++++=walk
around ^rp++++=around
the ^ati++++=the
historic ^jj++++=historic
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
self ^nn++++=self-guided
- ^zz++++=EXTRAWORD
guided ^vbd+++xvbn+=EXTRAWORD
walking ^vbg+++xvbg+=walking
tours ^nns++++=tours
inside ^jjb++++=inside
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
that ^dt+pdem+++=that
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
flagstaff ^nn+++??+=flagstaff
history ^nn++++=history
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
long ^jj++++=long.
. ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
but ^cc++++=but
you ^pp2+pp2+++=you
will ^md+prd+++=will
need ^vb++++=need
to ^to+vcmp+++=to
park ^vb++++=park
across ^in+pl+++=across
the ^ati++++=the
building ^jj+++xvbg+=building
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
15 ^cd++++=15
minute ^nn++++=minute
parking ^vwbg+++xvbg+=parking.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
pay ^nn++++=pay
at ^rb++++=at
the ^ati++++=the
kiosk ^nn++++=kiosk
by ^in++++=by
the ^ati++++=the
dumpster ^nn+nom+++=dumpster
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
green ^nn++++=green.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
walk ^vb++++=walk
up ^rp++++=up
san ^np++++=san
francisco ^np++++=francisco
st ^npl++++=st
to ^to++++=to
aspen ^vbi++++=aspen
ave ^nn++++=ave.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
in ^in++++=in
many ^ap++++=many
films ^nns++++=films.
. ^zz++++=EXTRAWORD
