yeah ^uh++++=yeah
thorpe ^np++++=thorpe
park ^nn++++=park
is ^vbz+bez+vrb++=is
close ^jj+pred+++=close
and ^cc++++=and
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
playground ^nn++++=playground
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
lumberyard ^nn+++??+=lumberyard,
, ^zz++++=EXTRAWORD
altitudes ^nns++++=altitudes
bar ^nn++++=bar
and ^cc++++=and
grill ^nn++++=grill,
, ^zz++++=EXTRAWORD
Toastedowl ^np+++??+=ToastedOwl,
, ^zz++++=EXTRAWORD
bigfoot ^nn+++??+=bigfoot
bbq ^nn+++??+=bbq,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
pie ^nn++++=pie
and ^cc++++=and
the ^ati++++=the
place ^nn++++=place
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
good ^jj++++=good
for ^in++++=for
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
