if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
either ^dtx++++=either
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
visit ^vb++++=visit
the ^ati++++=the
Grandc ^np+++??+=GrandC
that ^tht+rel+subj++=that
would ^md+prd+++=would
really ^rb+emph+++=really
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
opinion ^nn++++=opinion
everyone ^pn++++=everyone
has ^vbz+hvz+vrb++=has
a ^at++++=a
favorite ^nn++++=favorite.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say
the ^ati++++=the
most ^ql+emph+++=most
iconic ^jj+atrb+++=iconic
view ^nn++++=view
is ^vbz+bez+vrb++=is
mather ^np++++=mather
point ^nn++++=point
or ^cc++++=or
those ^dt+dem+++=those
from ^in++++=from
the ^ati++++=the
historic ^jj+atrb+++=historic
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
