How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
no ^at++++=no
to ^in++++=to
park ^nn++++=park
in ^in++++=in
downtown ^rn++++=downtown
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1/hour.
1 ^zz++++=EXTRAWORD
for ^in++++=for
free ^jj++++=free
parking ^jj+++xvbg+=parking
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
to ^in++++=to
park ^nn++++=park
and ^cc++++=and
walk ^nn++++=walk
to ^in++++=to
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
from ^in++++=from
either ^dtx++++=either
north ^np+pl+++=north
of ^in++++=of
cherry ^np++++=cherry
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
or ^cc+cls+++=or
west ^np+pl+++=west
of ^in++++=of
sitgreives ^nns++++=sitgreives
st ^npt++++=st.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
toddler ^jjr++++=toddler
friendly ^jj++++=friendly:
: ^zz++++=EXTRAWORD
Sunsetc ^np+++??+=SunsetC
is ^vbz+bez+vrb++=is
a ^at++++=a
volcano ^nn++++=volcano
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
extinct ^jj+pred+++=extinct
and ^cc++++=and
wuptaki ^nn+++??+=wuptaki
is ^vbz+bez+vrb++=is
ruins ^nns++++=ruins
with ^in++++=with
a ^at++++=a
blow ^nn++++=blow
hole ^nn++++=hole
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
popular ^jj++++=popular
with ^in++++=with
children ^nns++++=children.
. ^zz++++=EXTRAWORD
pioneer ^nn+nom+++=pioneer
museum ^nn++++=museum
is ^vbz+bez+vrb++=is
another ^dt++++=another
attraction ^nn+nom+++=attraction
that ^tht+rel+obj++=that
toddlers ^nns+nom+++=toddlers
enjoy ^vb++++=enjoy
as ^in++++=as
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
room ^nn++++=room
called ^vbd+++xvbn+=called
playthings ^nns++++=playthings
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past
and ^cc++++=and
a ^at++++=a
train ^nn++++=train
caboose ^nn+++??+=caboose.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
a ^at++++=a
type ^nn++++=type.
. ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
local ^jj+atrb+++=local
favorites ^nns++++=favorites
are ^vb+ber+vrb++=are
lumberyard ^nn+++??+=lumberyard
or ^cc++++=or
beaver ^jjr+atrb+++=beaver
street ^nn++++=street
breweries ^nns+nom+++=breweries,
, ^zz++++=EXTRAWORD
casa ^nn+++??+=casa
duarte ^nn+++??+=duarte,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat
olives ^nns++++=olives,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
altitudes ^nns++++=altitudes
bar ^nn++++=bar
and ^cc++++=and
grill ^nn++++=grill
to ^in++++=to
name ^nn++++=name
a ^ap++++=a
few ^ap"++++=few.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
by ^in++++=by
shadow ^nn++++=shadow
areas ^nns++++=areas?
? ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
stay ^vb++++=stay
to ^in++++=to
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
street ^nn++++=street
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
shade ^nn++++=shade,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
you ^pp2+pp2+++=you
would ^md+prd+++=would
find ^vb+vprv+++=find
areas ^nns++++=areas
to ^to++++=to
walk ^vbi++++=walk
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
downtown ^rn++++=downtown
or ^cc++++=or
you ^pp2+pp2+++=you
could ^md+pos+++=could
take ^vb++++=take
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
urban ^jj+atrb+++=urban
trails ^nns++++=trails
that ^tht+rel+subj++=that
go ^vb++++=go
through ^in++++=through
the ^ati++++=the
woods ^npl++++=woods
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
mars ^np++++=mars
hill ^nn++++=hill
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
