yes ^uh++++=yes
but ^cc++++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must
have ^vb+hv+vrb++=have
a ^at++++=a
permit ^vb++++=permit
to ^to+vcmp+++=to
do ^vbi++++=do
that ^dt+dem+++=that
to ^to++++=to
do ^vbi++++=do
a ^at++++=a
private ^jj+atrb+++=private
trip ^nn++++=trip
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lottery ^nn+nom+++=lottery
system ^nn++++=system
or ^cc+cls+++=or
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
you ^pp2+pp2+++=you
join ^vb++++=join
a ^at++++=a
commercial ^jj+atrb+++=commercial
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
many ^ap++++=many
options ^nns+nom+++=options
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
for ^in++++=for
outfitters ^nns+nom+++=outfitters
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^vb+hv+vrb++=have
arizona ^np++++=arizona
raft ^nn++++=raft
adventures ^nns++++=adventures,
, ^zz++++=EXTRAWORD
colorado ^np++++=colorado
river ^nn++++=river
discovery ^nn+nom+++=discovery,
, ^zz++++=EXTRAWORD
canyoeers ^nns+nom+++=canyoeers,
, ^zz++++=EXTRAWORD
oars ^nns+++??+=oars
and ^cc++++=and
moenkopi ^nn+++??+=moenkopi
river ^nn++++=river
works ^nns++++=works
to ^in++++=to
name ^nn++++=name
a ^ap++++=a
few ^ap"++++=few.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
