Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
the ^ati++++=the
thorpe ^np++++=thorpe
park ^nn++++=park
and ^cc++++=and
bushmaster ^nn+nom+++=bushmaster
park ^npl++++=park's
's ^$++++=EXTRAWORD
playgrounds ^nns++++=playgrounds.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
go ^vbi++++=go
on ^in++++=on
a ^at++++=a
hike ^nn+++??+=hike
at ^rb++++=at
Buffalop ^np+++??+=BuffaloP
where ^wrb+who+++=where
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
also ^rb++splt++=also
find ^vb+vprv+++=find
activity ^nn+nom+++=activity
centers ^nns+nom+++=centers.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
activities ^nns+nom+++=activities
that ^tht+rel+obj++=that
kids ^nns++++=kids
would ^md+prd+++=would
enjoy ^vb++++=enjoy
at ^rb++++=at
heritage ^nn+nom+++=heritage
square ^jj++++=square
on ^in++++=on
fridays ^nrs++++=fridays
and ^cc++++=and
saturdays ^nrs++++=saturdays
starting ^vwbg+++xvbg+=starting
at ^rb++++=at
4:30 ^cd++++=4:30
( ^zz++++=(we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
movies ^nns++++=movies
on ^in++++=on
saturdays ^nrs++++=saturdays
when ^wrb+who+++=when
the ^ati++++=the
sun ^nn++++=sun
sets ^nns++++=sets)
) ^zz++++=EXTRAWORD
