How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
the ^ati++++=the
only ^ap+down+++=only
tent ^nn++++=tent
only ^rb+down+++=only
campgrounds ^nns+++??+=campgrounds
in ^in++++=in
northernaz ^nn+++??+=northernaz
is ^vbz+bez+vrb++=is
manzinita ^nn+++??+=manzinita
campground ^nn+++??+=campground
in ^in++++=in
Oakc ^np+++??+=OakC
canyon ^nn++++=canyon
between ^in++++=between
here ^rn+pl+++=here
and ^cc++++=and
sedona ^nn+++??+=sedona,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
national ^jj+atrb+++=national
forest ^nn++++=forest
campgrounds ^nns+++??+=campgrounds
up ^rp++++=up
here ^rn+pl+++=here
as ^rb++++=as
well ^rb++++=well
that ^dt+pdem+++=that
would ^md+prd+++=would
allow ^vb++++=allow
rvs ^nns+++??+=rvs
just ^rb+emph+++=just
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
allow ^vb++++=allow
hookups ^nns+++??+=hookups
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
bonito ^nn+++??+=bonito
campground ^nn+++??+=campground
near ^in+pl+++=near
sunsetc ^nn+++??+=sunsetc
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
nice ^jj+pred+++=nice
and ^cc++++=and
so ^ql++++=so
is ^vbz+bez+vrb++=is
canyon ^nn++++=canyon
vista ^nn++++=vista
campground ^nn++++=campground
on ^in++++=on
lakem ^np++++=LakeM
rd ^npl++++=rd.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
